Plane ID,Flight Date,Departure Airport,Arrival Airport,Flight Distance,Flight Time,Fuel Used
N5MV,03/10/2024,pbi,ltn,"9 hours16 minutesMichael Bloombergtravels in aDassault Falcon 900personal plane that with a cruising speed of more than 580 mph, has a range of close to 4,900 miles","9 hours16 minutesMichael Bloombergtravels in aDassault Falcon 900personal plane that with a cruising speed of more than 580 mph, has a range of close to 4,900 miles and can remain airbone for nine hours",
N5MV,03/19/2024,mmu,qlt,,9 hours2 minutes,"2,700 gallons"
N5MV,01/16/2023,pbi,zrh,,8 hours31 minutes,"2,600 gallons"
N5MV,04/18/2024,lga,ltn,,8 hours22 minutes,"2,500 gallons"
N5MV,03/26/2023,pbi,snn,,8 hours10 minutes,"2,500 gallons"
N5MV,03/21/2024,qlt,olb,,8 hours6 minutes,"2,500 gallons"
N5MV,04/22/2024,ltn,lga,,7 hours54 minutes,"2,400 gallons"
N5MV,09/15/2023,hnl,den,,7 hours40 minutes,"2,300 gallons"
N5MV,03/15/2024,ltn,mmu,,7 hours29 minutes,"2,300 gallons"
N5MV,01/20/2023,zrh,zrh,,7 hours21 minutes,"2,200 gallons"
N5MV,11/02/2023,ltn,lga,,7 hours16 minutes,"2,500 gallons"
N5MV,12/08/2023,gru,gru,,7 hours4 minutes,"2,100 gallons"
N5MV,10/18/2023,sfo,hpn,,6 hours45 minutes,"2,000 gallons"
N5MV,03/31/2023,ltn,mmu,,6 hours38 minutes,"2,000 gallons"
N5MV,03/27/2024,hnd,anc,,6 hours36 minutes,"2,000 gallons"
N5MV,06/15/2023,mad,bcn,,6 hours35 minutes,"2,000 gallons"
N5MV,02/05/2023,bon,mmu,,6 hours30 minutes,"2,000 gallons"
N5MV,12/06/2023,lga,bgi,,6 hours20 minutes,"1,900 gallons"
N5MV,10/29/2023,lga,ltn,,6 hours20 minutes,"1,900 gallons"
N5MV,05/08/2024,hpn,sfo,,6 hours11 minutes,"1,900 gallons"
N5MV,03/27/2024,sin,hnd,,6 hours8 minutes,"1,900 gallons"
N5MV,06/11/2023,lga,ltn,,5 hours59 minutes,"1,800 gallons"
N5MV,03/02/2023,sba,pbi,,5 hours57 minutes,"1,800 gallons"
N5MV,09/08/2023,den,hnl,,5 hours50 minutes,"1,800 gallons"
N5MV,10/06/2023,lga,mry,,5 hours46 minutes,"1,700 gallons"
N5MV,03/06/2023,sba,mmu,,5 hours43 minutes,"1,700 gallons"
N5MV,03/27/2024,anc,yow,,5 hours40 minutes,"1,700 gallons"
N5MV,05/11/2024,sfo,mmu,,5 hours26 minutes,"1,600 gallons"
N5MV,03/05/2023,pbi,sba,,5 hours21 minutes,"1,600 gallons"
N5MV,10/15/2023,mmu,mry,,5 hours7 minutes,"1,600 gallons"
N5MV,10/10/2023,ont,mmu,,5 hours5 minutes,"1,500 gallons"
N5MV,10/07/2023,hpn,lax,,4 hours58 minutes,"1,500 gallons"
N5MV,04/02/2023,ril,mmu,,4 hours43 minutes,"1,400 gallons"
N5MV,12/08/2023,bgi,bgi,,4 hours42 minutes,"1,400 gallons"
N5MV,12/26/2023,mmu,skb,,4 hours40 minutes,"1,400 gallons"
N5MV,12/23/2023,ril,mmu,,4 hours39 minutes,"1,400 gallons"
N5MV,03/01/2023,mmu,sba,,4 hours36 minutes,"1,400 gallons"
N5MV,03/21/2024,blr,bom,,4 hours35 minutes,"1,400 gallons"
N5MV,12/06/2023,bgi,bgi,,4 hours33 minutes,"1,400 gallons"
N5MV,10/06/2023,mry,hpn,,4 hours31 minutes,"1,400 gallons"
N5MV,04/23/2023,stt,stt,,4 hours26 minutes,"1,300 gallons"
N5MV,03/20/2023,anu,mmu,,4 hours26 minutes,"1,300 gallons"
N5MV,12/03/2023,hpn,stt,,4 hours19 minutes,"1,300 gallons"
N5MV,08/07/2023,ril,lga,,4 hours19 minutes,"1,300 gallons"
N5MV,04/01/2023,stt,stt,,4 hours14 minutes,"1,300 gallons"
N5MV,01/02/2024,skb,skb,,4 hours13 minutes,"1,300 gallons"
N5MV,07/24/2023,hpn,ril,,4 hours12 minutes,"1,300 gallons"
N5MV,,ase,mmu,,4 hours7 minutes,"1,200 gallons"
N5MV,02/04/2023,hpn,bon,,4 hours7 minutes,"1,200 gallons"
N5MV,12/16/2023,lga,ril,,4 hours2 minutes,"1,200 gallons"
N5MV,01/28/2023,mmu,bon,,3 hours58 minutes,"1,200 gallons"
N5MV,03/11/2023,hpn,stt,,3 hours57 minutes,"1,200 gallons"
N5MV,08/02/2023,ril,bwi,,3 hours56 minutes,"1,200 gallons"
N5MV,08/03/2023,lga,ril,,3 hours55 minutes,"1,200 gallons"
N5MV,05/25/2024,dal,bed,,3 hours53 minutes,"1,200 gallons"
N5MV,04/02/2023,hpn,ril,,3 hours53 minutes,"1,200 gallons"
N5MV,12/10/2023,stt,stt,,3 hours52 minutes,"1,200 gallons"
N5MV,07/21/2023,lga,eeo,,3 hours52 minutes,"1,200 gallons"
N5MV,03/20/2023,lga,anu,,3 hours46 minutes,"1,100 gallons"
N5MV,02/25/2023,stt,stt,,3 hours45 minutes,"1,100 gallons"
N5MV,11/10/2023,mmu,stt,,3 hours44 minutes,"1,100 gallons"
N5MV,01/22/2023,stt,stt,,3 hours41 minutes,"1,100 gallons"
N5MV,09/16/2023,den,mmu,,3 hours39 minutes,"1,100 gallons"
N5MV,11/04/2023,hpn,stt,,3 hours38 minutes,"1,100 gallons"
N5MV,11/04/2023,stt,stt,,3 hours35 minutes,"1,100 gallons"
N5MV,07/28/2023,ril,lga,,3 hours35 minutes,"1,100 gallons"
N5MV,03/31/2024,guc,mmu,,3 hours34 minutes,"1,100 gallons"
N5MV,01/28/2023,bon,pbi,,3 hours34 minutes,"1,100 gallons"
N5MV,01/21/2024,lrm,pop,,3 hours31 minutes,"1,100 gallons"
N5MV,04/08/2023,hpn,stt,,3 hours31 minutes,"1,100 gallons"
N5MV,09/07/2023,mmu,den,,3 hours30 minutes,"1,100 gallons"
N5MV,03/30/2024,mmu,guc,,3 hours27 minutes,"1,000 gallons"
N5MV,11/26/2023,dal,lga,,3 hours25 minutes,"1,000 gallons"
N5MV,08/09/2023,ptk,ril,,3 hours24 minutes,"1,000 gallons"
N5MV,11/10/2023,hou,lga,,3 hours20 minutes,"1,000 gallons"
N5MV,07/29/2023,lga,ril,,3 hours18 minutes,"1,000 gallons"
N5MV,12/10/2023,hpn,stt,,3 hours14 minutes,980 gallons
N5MV,12/09/2023,stt,stt,,3 hours13 minutes,980 gallons
N5MV,01/19/2024,lga,lrm,,3 hours12 minutes,970 gallons
N5MV,12/15/2023,mmu,stt,,3 hours10 minutes,960 gallons
N5MV,07/21/2023,eeo,mmu,,3 hours9 minutes,950 gallons
N5MV,06/29/2023,bos,dal,,3 hours9 minutes,950 gallons
N5MV,02/22/2024,mmu,ril,,3 hours8 minutes,950 gallons
N5MV,04/23/2023,mmu,stt,,3 hours8 minutes,950 gallons
N5MV,05/23/2024,lga,dal,,3 hours7 minutes,940 gallons
N5MV,11/11/2023,stt,stt,,3 hours5 minutes,930 gallons
N5MV,12/04/2023,stt,stt,,3 hours2 minutes,920 gallons
N5MV,04/13/2023,hpn,,,2 hours57 minutes,890 gallons
N5MV,12/15/2023,stt,stt,,2 hours56 minutes,890 gallons
N5MV,02/11/2024,pbi,lga,,2 hours53 minutes,870 gallons
N5MV,04/08/2023,stt,stt,,2 hours46 minutes,840 gallons
N5MV,12/08/2023,ags,stt,,2 hours43 minutes,820 gallons
N5MV,01/21/2023,pbi,stt,,2 hours42 minutes,820 gallons
N5MV,01/03/2024,mmu,,,2 hours40 minutes,810 gallons
N5MV,02/02/2024,mmu,nas,,2 hours37 minutes,790 gallons
N5MV,01/08/2024,mmu,,,2 hours36 minutes,790 gallons
N5MV,09/21/2023,mmu,elh,,2 hours36 minutes,790 gallons
N5MV,06/30/2023,dal,bwi,,2 hours36 minutes,790 gallons
N5MV,11/22/2023,pbi,dal,,2 hours34 minutes,780 gallons
N5MV,11/09/2023,lga,hou,,2 hours34 minutes,780 gallons
N5MV,09/24/2023,nas,wtd,,2 hours34 minutes,780 gallons
N5MV,02/17/2023,lga,pbi,,2 hours29 minutes,750 gallons
N5MV,07/25/2023,pdx,ril,,2 hours28 minutes,750 gallons
N5MV,03/11/2023,stt,stt,,2 hours27 minutes,740 gallons
N5MV,08/13/2023,ril,ptk,,2 hours23 minutes,720 gallons
N5MV,04/13/2023,hpn,,,2 hours22 minutes,720 gallons
N5MV,01/20/2023,mmu,pbi,,2 hours22 minutes,720 gallons
N5MV,02/16/2024,pbi,mmu,,2 hours20 minutes,710 gallons
N5MV,03/18/2024,pbi,mmu,,2 hours19 minutes,700 gallons
N5MV,04/01/2023,pbi,stt,,2 hours19 minutes,700 gallons
N5MV,03/31/2023,mmu,pbi,,2 hours16 minutes,690 gallons
N5MV,03/19/2023,pbi,lga,,2 hours13 minutes,670 gallons
N5MV,02/15/2024,lga,pbi,,2 hours11 minutes,660 gallons
N5MV,03/03/2024,pbi,mmu,,2 hours10 minutes,660 gallons
N5MV,01/05/2023,lga,pbi,,2 hours8 minutes,650 gallons
N5MV,04/15/2023,mmu,pbi,,2 hours7 minutes,640 gallons
N5MV,02/25/2023,pbi,stt,,2 hours7 minutes,640 gallons
N5MV,01/12/2024,mmu,nas,,2 hours6 minutes,640 gallons
N5MV,02/10/2023,mmu,nas,,2 hours6 minutes,640 gallons
N5MV,02/29/2024,lga,pbi,,2 hours5 minutes,630 gallons
N5MV,03/23/2023,lga,pbi,,2 hours5 minutes,630 gallons
N5MV,01/30/2023,pbi,mmu,,2 hours5 minutes,630 gallons
N5MV,01/16/2024,nas,wtd,,2 hours3 minutes,620 gallons
N5MV,04/21/2023,pbi,mmu,,2 hours3 minutes,620 gallons
N5MV,02/12/2023,nas,wtd,,2 hours3 minutes,620 gallons
N5MV,11/21/2023,mmu,pbi,,,610 gallons
N5MV,01/12/2023,lga,pbi,,,610 gallons
N5MV,03/15/2024,mmu,pbi,,1 hour59 minutes,600 gallons
N5MV,02/04/2024,nas,wtd,,1 hour59 minutes,600 gallons
N5MV,07/23/2023,hpn,bda,,1 hour56 minutes,590 gallons
N5MV,01/09/2023,pbi,mmu,,1 hour55 minutes,580 gallons
N5MV,03/07/2024,lga,pbi,,1 hour53 minutes,570 gallons
N5MV,04/13/2023,pbi,hpn,,1 hour52 minutes,570 gallons
N5MV,07/25/2023,ril,pdx,,1 hour47 minutes,540 gallons
N5MV,06/13/2023,ltn,zrh,,1 hour42 minutes,520 gallons
N5MV,06/14/2023,zrh,zrh,,1 hour38 minutes,500 gallons
N5MV,07/20/2023,hpn,bda,,1 hour37 minutes,490 gallons
N5MV,02/08/2024,lga,ags,,1 hour36 minutes,490 gallons
N5MV,07/23/2023,bda,hpn,,1 hour36 minutes,490 gallons
N5MV,07/16/2023,tvc,hpn,,1 hour35 minutes,480 gallons
N5MV,07/20/2023,bda,lga,,1 hour27 minutes,440 gallons
N5MV,01/30/2024,hpn,alb,,1 hour26 minutes,430 gallons
N5MV,12/08/2023,mmu,ags,,1 hour24 minutes,420 gallons
N5MV,03/18/2023,vrb,pbi,,1 hour18 minutes,390 gallons
N5MV,01/31/2024,alb,lga,,1 hour17 minutes,390 gallons
N5MV,03/26/2023,snn,snn,,1 hour17 minutes,390 gallons
N5MV,05/27/2024,bed,lga,,1 hour11 minutes,360 gallons
N5MV,07/15/2023,mmu,tvc,,1 hour10 minutes,350 gallons
N5MV,08/13/2023,ptk,hpn,,1 hour9 minutes,350 gallons
N5MV,02/09/2024,ags,pbi,,1 hour8 minutes,340 gallons
N5MV,09/02/2023,hpn,mvy,,1 hour8 minutes,340 gallons
N5MV,11/20/2023,yqb,yyz,,1 hour7 minutes,340 gallons
