airport_code,airport_name,latitude,longitude
ART,Watertown International Airport,43.9919,-76.0217
ARU,Aracatuba Airport,-21.1413,-50.4247
ARV,Lakeland Airport (Noble F. Lee Memorial Field),45.9279,-89.7309
ARW,Arad International Airport,46.1766,21.262
ARX,Aracati Airport,-4.56861,-37.8047
ARY,Ararat Airport,-37.3094,142.989
ARZ,N'zeto Airport,-7.25944,12.8631
ASA,Assab International Airport,13.0718,42.645
ASB,Ashgabat International Airport,37.9868,58.361
ASC,Ascencion de Guarayos Airport,-15.9303,-63.1567
ASD,Andros Town International Airport,24.6979,-77.7956
ASE,Aspen-Pitkin County Airport (Sardy Field),39.2232,-106.869
ASF,Narimanovo Airport,46.2833,48.0063
ASG,Ashburton Aerodrome,-43.9033,171.797
ASH,Nashua Airport (Boire Field),42.7817,-71.5148
ASI,RAF Ascension Island (Wideawake Field),-7.9696,-14.3937
ASJ,Amami Airport,28.4306,129.713
ASK,Yamoussoukro International Airport,6.90317,-5.36558
ASL,Harrison County Airport,32.5205,-94.3078
ASM,Asmara International Airport,15.2919,38.9107
ASN,Talladega Municipal Airport,33.5699,-86.0509
ASO,Asosa Airport,10.0185,34.5863
ASP,Alice Springs Airport,-23.8067,133.902
ASQ,Austin Airport,39.468,-117.195
ASR,Erkilet International Airport,38.7704,35.4954
AST,Astoria Regional Airport,46.158,-123.879
ASU,Silvio Pettirossi International Airport,-25.24,-57.52
ASV,Amboseli Airport,-2.64505,37.2531
ASW,Aswan International Airport,23.9644,32.82
ASX,John F. Kennedy Memorial Airport,46.5485,-90.919
ASY,Ashley Municipal Airport,46.0239,-99.3526
ASZ,Asirim Airport,-6.00972,150.369
ATA,Comandante FAP German Arias Graziani Airport,-9.34744,-77.5984
ATB,Atbara Airport,17.7103,34.057
ATC,Arthur's Town Airport,24.6294,-75.6738
ATD,Uru Harbour Airport,-8.87333,161.011
ATE,Antlers Municipal Airport,34.1926,-95.6499
ATF,Chachoan Airport,-1.21207,-78.5746
ATG,PAF Base Minhas,33.8691,72.4009
ATH,Athens International Airport (Eleftherios Venizelos Airport),37.9364,23.9445
ATI,Artigas International Airport,-30.4007,-56.5079
ATJ,Antsirabe Airport,-19.8392,47.0637
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,70.4673,-157.436
ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
ATM,Altamira Airport,-3.25391,-52.254
ATN,Namatanai Airport,-3.6695,152.438
ATO,Ohio University Airport (Snyder Field),39.211,-82.2314
ATP,Aitape Airstrip,-3.14361,142.347
ATQ,Sri Guru Ram Dass Jee International Airport,31.7096,74.7973
ATR,Atar International Airport,20.5068,-13.0432
ATS,Artesia Municipal Airport,32.8525,-104.468
ATT,Atmautluak Airport,60.8667,-162.273
ATU,Casco Cove Coast Guard Station,52.8284,173.18
ATV,Ati Airport,13.2389,18.3133
ATW,Appleton International Airport,44.2581,-88.5191
ATX,Atbasar Airport,51.8517,68.3633
ATY,Watertown Regional Airport,44.914,-97.1547
ATZ,Assiut Airport,27.0465,31.012
AUA,Queen Beatrix International Airport,12.5014,-70.0152
AUC,Santiago Perez  Quiroz Airport,7.06888,-70.7369
AUD,Augustus Downs Airport,-18.515,139.878
AUE,Abu Rudeis Airport,28.899,33.2025
AUF,Auxerre - Branches Aerodrome,47.8502,3.49711
AUG,Augusta State Airport,44.3206,-69.7973
AUH,Abu Dhabi International Airport,24.433,54.6511
AUI,Aua Island Airport,-1.46056,143.065
AUJ,Ambunti Airport,-4.21567,142.823
AUK,Alakanuk Airport,62.68,-164.66
AUL,Aur Airport,8.14528,171.173
AUM,Austin Municipal Airport,43.665,-92.9334
AUN,Auburn Municipal Airport,38.9548,-121.082
AUO,Auburn University Regional Airport,32.6151,-85.434
AUP,Agaun Airport,-9.93083,149.386
AUQ,Atuona Airport,-9.76879,-139.011
AUR,Aurillac - Tronquieres Airport,44.8914,2.42194
AUS,Austin-Bergstrom International Airport,30.1945,-97.6699
AUT,Atauro Airport,-8.24313,125.606
AUU,Aurukun Airport,-13.3541,141.721
AUV,Aumo Airport,-5.73111,148.445
AUW,Wausau Downtown Airport,44.9262,-89.6266
AUX,Araguaina Airport,-7.22787,-48.2405
AUY,Anatom Airport,-20.2492,169.771
AUZ,Aurora Municipal Airport,41.7719,-88.4757
AVA,Anshun Huangguoshu Airport,26.2606,105.873
AVB,Aviano Air Base,46.0319,12.5965
AVG,Auvergne Airport,-15.7,130
AVI,Maximo Gomez  Airport,22.0271,-78.7896
AVK,Arvaikheer Airport,46.2503,102.802
AVL,Asheville Regional Airport,35.4362,-82.5418
AVN,Avignon - Provence Airport,43.9073,4.90183
AVO,Avon Park Executive Airport,27.5912,-81.5278
AVP,Wilkes-Barre/Scranton International Airport,41.3385,-75.7234
AVU,Avu Avu Airport,-9.86833,160.411
AVV,Avalon Airport,-38.0394,144.469
AVW,Marana Regional Airport,32.4096,-111.218
AVX,Catalina Airport,33.4049,-118.416
AWA,Awasa Airport,7.067,38.5
AWB,Awaba Airport,-8.00611,142.748
AWD,Aniwa Airport,-19.2346,169.601
AWE,Alowe Airport,-0.545,9.444
AWK,Wake Island Airfield,19.2821,166.636
AWM,West Memphis Municipal Airport,35.1351,-90.2344
AWN,Alton Downs Airport,-26.5333,139.267
AWP,Austral Downs Airport,-20.5,137.75
AWR,Awar Airport,-4.124,144.853
AWZ,Ahvaz International Airport,31.3374,48.762
AXA,Clayton J. Lloyd International Airport,18.2048,-63.0551
AXB,Maxson Airfield,44.312,-75.9003
AXC,Aramac Airport,-22.9667,145.242
AXD,Alexandroupoli Airport (Dimokritos Airport),40.8559,25.9563
AXE,Xanxerê - João Winckler Airport,-26.8756,-52.3731
AXF,Alxa Left Banner Bayanhot Airport,38.7483,105.589
AXG,Algona Municipal Airport,43.0779,-94.272
AXJ,Amakusa Airfield,32.4825,130.159
AXK,Ataq Airport,14.5513,46.8262
AXL,Alexandria Homestead Airport,-19.0602,136.71
AXM,El Eden International Airport,4.45278,-75.7664
AXN,Alexandria Municipal Airport (Chandler Field),45.8663,-95.3947
AXP,Spring Point Airport,22.4418,-73.9709
AXR,Arutua Airport,-15.2483,-146.617
AXS,Altus/Quartz Mountain Regional Airport,34.698,-99.3385
AXT,Akita Airport,39.6156,140.219
AXU,Axum Airport,14.1468,38.7728
AXV,Neil Armstrong Airport,40.4934,-84.2989
AXX,Angel Fire Airport,36.422,-105.29
AYA,Ayapel Airport,8.3,-75.15
AYC,Ayacucho Airport,8.6,-73.6167
AYD,Alroy Downs Airport,-19.2908,136.079
AYG,Yaguara Airport,1.54417,-73.9333
AYI,Yari Airport,-0.383333,-72.2667
AYK,Arkalyk Airport,50.3186,66.9528
AYL,Anthony Lagoon Airport,-18.0181,135.535
AYM,Yas Island Seaplane Base,24.467,54.6103
AYN,Anyang Airport,36.1339,114.344
AYO,Juan de Ayolas Airport,-27.3706,-56.8541
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,-13.1548,-74.2044
AYQ,Ayers Rock Airport,-25.1861,130.976
AYR,Ayr Airport,-19.5844,147.329
AYS,Waycross-Ware County Airport,31.2491,-82.3955
AYT,Antalya Airport,36.8987,30.8005
AYU,Aiyura Airport,-6.33806,145.904
AYW,Ayawasi Airport,-1.1593,132.463
AYX,Tnte. Gral. Gerardo Perez Pinedo Airport,-10.7292,-73.7667
AYY,Arugam Bay Seaplane Base,6.86,81.8239
AZA,Phoenix-Mesa Gateway Airport,33.3078,-111.655
AZB,Amazon Bay Airport,-10.2992,149.338
AZD,Shahid Sadooghi Airport,31.9049,54.2765
AZG,Pablo L. Sidar Airport,19.0934,-102.394
AZI,Al Bateen Executive Airport,24.4283,54.4581
AZL,Fazenda Tucunare Airport,-13.4655,-58.8669
AZN,Andizhan Airport,40.7277,72.294
AZO,Kalamazoo/Battle Creek International Airport,42.2349,-85.5521
AZP,Jorge Jimenez Cantu National Airport,19.5748,-99.2888
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,27.8376,-0.186414
AZS,Samana El Catey International Airport,19.267,-69.742
AZT,Zapatoca Airport,6.81667,-73.2833
AZZ,Ambriz Airport,-7.86222,13.1161
BAA,Bialla Airport,-5.33056,151.008
BAB,Beale Air Force Base,39.1361,-121.437
BAC,Barranca de Upia Airport,4.58333,-72.9667
BAD,Barksdale Air Force Base,32.5018,-93.6627
BAE,Barcelonnette - Saint-Pons Airport,44.3872,6.60919
BAF,Westfield-Barnes Regional Airport,42.1578,-72.7156
BAG,Loakan Airport,16.3751,120.62
BAH,Bahrain International Airport,26.2708,50.6336
BAI,Buenos Aires Airport,9.16395,-83.3302
BAJ,Bali Airport,-4.88333,149.133
BAL,Batman Airport,37.929,41.1166
BAM,Battle Mountain Airport (Lander County Airport),40.599,-116.874
BAN,Basongo Airport,-4.3158,20.4149
BAP,Baibara Airport,-10.3432,149.641
BAQ,Ernesto Cortissoz International Airport,10.8896,-74.7808
BAR,Qionghai Bo'ao Airport,19.1382,110.455
BAS,Balalae Airport,-6.99075,155.887
BAT,Chafei Amsei Airport,-20.5845,-48.5941
BAU,Bauru Airport,-22.3436,-49.0539
BAV,Baotou Airport,40.56,109.997
BAW,Biawonque Airport,-0.666667,9.45
BAX,Barnaul Airport,53.3638,83.5385
BAY,Baia Mare Airport,47.6606,23.4673
